#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-25 20:59,-16.51666667, , 
,2022-02-25 21:02,-15.87777778, , 
,2022-02-25 21:05,-16.08888889, , 
,2022-02-25 21:08,-16.17777778, , 
,2022-02-25 21:11,-15.96111111, , 
,2022-02-25 21:14,-16.82222222, , 
,2022-02-25 21:17,-16.65, , 
,2022-02-25 21:20,-17.16111111, , 
,2022-02-25 21:23,-17.72222222, , 
,2022-02-25 21:26,-16.90555556, , 
,2022-02-25 21:29,-16.65, , 
,2022-02-25 21:32,-16.95, , 
,2022-02-25 21:35,-17.20555556, , 
,2022-02-25 21:38,-17.72222222, , 
,2022-02-25 21:41,-17.59444444, , 
,2022-02-25 21:44,-17.93333333, , 
,2022-02-25 21:47,-17.97777778, , 
,2022-02-25 21:50,-17.85, , 
,2022-02-25 21:53,-17.93333333, , 
,2022-02-25 21:56,-17.85, , 
,2022-02-25 21:59,-18.02222222, , 
,2022-02-25 22:02,-17.67777778, , 
,2022-02-25 22:05,-17.76111111, , 
,2022-02-25 22:08,-17.85, , 
,2022-02-25 22:11,-18.10555556, , 
,2022-02-25 22:14,-18.45, , 
,2022-02-25 22:17,-18.36666667, , 
,2022-02-25 22:20,-19.05, , 
,2022-02-25 22:23,-19.30555556, , 
,2022-02-25 22:26,-18.45, , 
,2022-02-25 22:29,-18.27777778, , 
,2022-02-25 22:32,-18.02222222, , 
,2022-02-25 22:35,-19.09444444, , 
,2022-02-25 22:38,-19.52222222, , 
,2022-02-25 22:41,-18.83333333, , 
,2022-02-25 22:44,-17.72222222, , 
,2022-02-25 22:47,-18.49444444, , 
,2022-02-25 22:50,-17.85, , 
,2022-02-25 22:53,-17.37777778, , 
,2022-02-25 22:56,-16.95, , 
,2022-02-25 22:59,-17.20555556, , 
,2022-02-25 23:02,-17.42222222, , 
,2022-02-25 23:05,-17.20555556, , 
,2022-02-25 23:08,-16.60555556, , 
,2022-02-25 23:11,-16.60555556, , 
,2022-02-25 23:14,-16.00555556, , 
,2022-02-25 23:17,-16.17777778, , 
,2022-02-25 23:20,-16.21666667, , 
,2022-02-25 23:23,-16.38888889, , 
,2022-02-25 23:26,-16.43333333, , 
,2022-02-25 23:29,-16.13333333, , 
,2022-02-25 23:32,-16.60555556, , 
,2022-02-25 23:35,-15.83333333, , 
,2022-02-25 23:38,-15.66111111, , 
,2022-02-25 23:41,-16.35, , 
,2022-02-25 23:44,-16.05, , 
,2022-02-25 23:47,-16.30555556, , 
,2022-02-25 23:50,-16.13333333, , 
,2022-02-25 23:53,-15.53333333, , 
,2022-02-25 23:56,-15.10555556, , 
,2022-02-25 23:59,-15.36111111, , 
,2022-02-26 0:02,-15.10555556, , 
,2022-02-26 0:05,-14.71666667, , 
,2022-02-26 0:08,-14.71666667, , 
,2022-02-26 0:11,-14.76111111, , 
,2022-02-26 0:14,-14.58888889, , 
,2022-02-26 0:17,-14.63333333, , 
,2022-02-26 0:20,-14.37222222, , 
,2022-02-26 0:23,-14.37222222, , 
,2022-02-26 0:26,-14.11666667, , 
,2022-02-26 0:29,-13.98888889, , 
,2022-02-26 0:32,-13.77222222, , 
,2022-02-26 0:35,-13.68888889, , 
,2022-02-26 0:38,-13.73333333, , 
,2022-02-26 0:41,-13.68888889, , 
,2022-02-26 0:44,-13.68888889, , 
,2022-02-26 0:47,-13.68888889, , 
,2022-02-26 0:50,-13.86111111, , 
,2022-02-26 0:53,-14.07222222, , 
,2022-02-26 0:56,-14.41666667, , 
,2022-02-26 0:59,-14.33333333, , 
,2022-02-26 1:02,-14.76111111, , 
,2022-02-26 1:05,-14.76111111, , 
,2022-02-26 1:08,-15.53333333, , 
,2022-02-26 1:11,-15.91666667, , 
,2022-02-26 1:14,-16.47777778, , 
,2022-02-26 1:17,-16.35, , 
,2022-02-26 1:20,-15.53333333, , 
,2022-02-26 1:23,-15.44444444, , 
,2022-02-26 1:26,-15.31666667, , 
,2022-02-26 1:29,-15.23333333, , 
,2022-02-26 1:32,-15.01666667, , 
,2022-02-26 1:35,-14.88888889, , 
,2022-02-26 1:38,-15.14444444, , 
,2022-02-26 1:41,-15.36111111, , 
,2022-02-26 1:44,-15.40555556, , 
,2022-02-26 1:47,-15.18888889, , 
,2022-02-26 1:50,-15.27777778, , 
,2022-02-26 1:53,-15.44444444, , 
,2022-02-26 1:56,-14.71666667, , 
,2022-02-26 1:59,-14.37222222, , 
,2022-02-26 2:02,-14.33333333, , 
,2022-02-26 2:05,-14.37222222, , 
,2022-02-26 2:08,-14.54444444, , 
,2022-02-26 2:11,-14.88888889, , 
,2022-02-26 2:14,-15.23333333, , 
,2022-02-26 2:17,-15.40555556, , 
,2022-02-26 2:20,-15.57777778, , 
,2022-02-26 2:23,-15.66111111, , 
,2022-02-26 2:26,-15.74444444, , 
,2022-02-26 2:29,-16.21666667, , 
,2022-02-26 2:32,-16.47777778, , 
,2022-02-26 2:35,-16.56111111, , 
,2022-02-26 2:38,-16.90555556, , 
,2022-02-26 2:41,-16.38888889, , 
,2022-02-26 2:44,-15.83333333, , 
,2022-02-26 2:47,-15.70555556, , 
,2022-02-26 2:50,-15.74444444, , 
,2022-02-26 2:53,-15.48888889, , 
,2022-02-26 2:56,-15.57777778, , 
,2022-02-26 2:59,-15.87777778, , 
,2022-02-26 3:02,-16.00555556, , 
,2022-02-26 3:05,-16.08888889, , 
,2022-02-26 3:08,-16.38888889, , 
,2022-02-26 3:11,-16.43333333, , 
,2022-02-26 3:14,-16.95, , 
,2022-02-26 3:17,-17.16111111, , 
,2022-02-26 3:20,-17.28888889, , 
,2022-02-26 3:23,-17.28888889, , 
,2022-02-26 3:26,-16.68888889, , 
,2022-02-26 3:29,-16.43333333, , 
,2022-02-26 3:32,-16.51666667, , 
,2022-02-26 3:35,-16.86111111, , 
,2022-02-26 3:38,-17.25, , 
,2022-02-26 3:41,-17.46111111, , 
,2022-02-26 3:44,-17.28888889, , 
,2022-02-26 3:47,-17.25, , 
,2022-02-26 3:50,-16.98888889, , 
,2022-02-26 3:53,-17.07777778, , 
,2022-02-26 3:56,-17.55, , 
,2022-02-26 3:59,-17.85, , 
,2022-02-26 4:02,-17.50555556, , 
,2022-02-26 4:05,-18.27777778, , 
,2022-02-26 4:08,-18.66666667, , 
,2022-02-26 4:11,-18.27777778, , 
,2022-02-26 4:14,-18.19444444, , 
,2022-02-26 4:17,-19.00555556, , 
,2022-02-26 4:20,-18.66666667, , 
,2022-02-26 4:23,-18.32222222, , 
,2022-02-26 4:26,-18.79444444, , 
,2022-02-26 4:29,-19.17777778, , 
