#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
66,02/02/2023 12:47:35,-11.77,43.80,-21.61,,
67,02/02/2023 12:50:35,-10.66,40.97,-21.36,,
68,02/02/2023 12:53:35,-9.11,38.66,-20.62,,
69,02/02/2023 12:56:35,-7.66,34.14,-20.74,,
70,02/02/2023 12:59:35,-6.90,32.29,-20.70,,
71,02/02/2023 13:02:35,-7.99,33.63,-21.21,,
72,02/02/2023 13:05:35,-9.40,37.18,-21.32,,
73,02/02/2023 13:08:35,-8.04,35.51,-20.63,,
74,02/02/2023 13:11:35,-7.57,34.32,-20.60,,
75,02/02/2023 13:14:35,-6.98,35.56,-19.67,,
76,02/02/2023 13:17:35,-6.74,32.67,-20.43,,
77,02/02/2023 13:20:35,-8.49,37.15,-20.51,,
78,02/02/2023 13:23:35,-8.43,37.03,-20.50,,
79,02/02/2023 13:26:35,-8.84,38.25,-20.50,,
80,02/02/2023 13:29:35,-8.28,38.75,-19.84,,
81,02/02/2023 13:32:35,-8.82,39.28,-20.17,,
82,02/02/2023 13:35:35,-9.74,42.10,-20.21,,
83,02/02/2023 13:38:35,-8.89,41.39,-19.63,,
84,02/02/2023 13:41:35,-8.63,39.65,-19.89,,
85,02/02/2023 13:44:35,-7.91,38.21,-19.67,,
86,02/02/2023 13:47:35,-8.44,40.35,-19.52,,
87,02/02/2023 13:50:35,-8.68,40.11,-19.80,,
88,02/02/2023 13:53:35,-8.31,39.32,-19.70,,
89,02/02/2023 13:56:35,-9.36,41.87,-19.92,,
90,02/02/2023 13:59:35,-8.79,42.60,-19.20,,
91,02/02/2023 14:02:35,-8.85,40.46,-19.86,,
92,02/02/2023 14:05:35,-8.68,40.04,-19.82,,
93,02/02/2023 14:08:35,-8.60,40.41,-19.65,,
94,02/02/2023 14:11:35,-9.08,41.44,-19.79,,
95,02/02/2023 14:14:35,-9.00,41.31,-19.75,,
96,02/02/2023 14:17:35,-8.34,39.01,-19.81,,
97,02/02/2023 14:20:35,-7.95,38.24,-19.70,,
98,02/02/2023 14:23:35,-8.00,38.87,-19.55,,
99,02/02/2023 14:26:35,-8.11,38.66,-19.72,,
100,02/02/2023 14:29:35,-8.72,40.19,-19.82,,
101,02/02/2023 14:32:35,-8.89,42.03,-19.46,,
102,02/02/2023 14:35:35,-7.77,39.91,-19.03,,
103,02/02/2023 14:38:35,-7.60,40.01,-18.85,,
104,02/02/2023 14:41:35,-7.41,38.03,-19.28,,
105,02/02/2023 14:44:35,-8.04,39.20,-19.49,,
106,02/02/2023 14:47:35,-8.43,41.32,-19.24,,
107,02/02/2023 14:50:35,-8.16,40.84,-19.13,,
108,02/02/2023 14:53:35,-8.63,42.81,-19.00,,
109,02/02/2023 14:56:35,-8.87,42.51,-19.30,,
110,02/02/2023 14:59:35,-9.61,44.13,-19.55,,
111,02/02/2023 15:02:35,-9.64,45.50,-19.22,,
112,02/02/2023 15:05:35,-9.25,45.04,-18.98,,
113,02/02/2023 15:08:35,-7.98,42.02,-18.63,,
114,02/02/2023 15:11:35,-8.21,41.82,-18.89,,
115,02/02/2023 15:14:35,-7.48,42.34,-18.08,,
116,02/02/2023 15:17:35,-7.34,40.44,-18.49,,
117,02/02/2023 15:20:35,-8.75,45.20,-18.48,,
118,02/02/2023 15:23:35,-7.93,44.56,-17.89,,
119,02/02/2023 15:26:35,-7.85,42.68,-18.33,,
120,02/02/2023 15:29:35,-8.11,42.24,-18.69,,
121,02/02/2023 15:32:35,-8.60,43.81,-18.71,,
122,02/02/2023 15:35:35,-8.04,43.59,-18.25,,
123,02/02/2023 15:38:35,-7.00,40.67,-18.11,,
124,02/02/2023 15:41:35,-6.38,39.10,-18.02,,
125,02/02/2023 15:44:35,-7.30,40.87,-18.33,,
126,02/02/2023 15:47:35,-7.33,41.76,-18.11,,
127,02/02/2023 15:50:35,-5.94,39.65,-17.46,,
128,02/02/2023 15:53:35,-5.22,36.68,-17.72,,
129,02/02/2023 15:56:35,-4.82,36.88,-17.30,,
130,02/02/2023 15:59:35,-4.65,34.48,-17.94,,
131,02/02/2023 16:02:35,-5.04,35.24,-18.04,,
132,02/02/2023 16:05:35,-3.12,33.02,-17.10,,
133,02/02/2023 16:08:35,-1.08,28.90,-16.88,,
134,02/02/2023 16:11:35,-2.39,29.90,-17.63,,
135,02/02/2023 16:14:35,-4.59,34.32,-17.95,,
136,02/02/2023 16:17:35,-5.44,36.07,-18.12,,
137,02/02/2023 16:20:35,-6.47,41.46,-17.41,,
138,02/02/2023 16:23:35,-6.00,40.41,-17.29,,
139,02/02/2023 16:26:35,-6.66,41.84,-17.48,,
140,02/02/2023 16:29:35,-8.53,45.69,-18.15,,
141,02/02/2023 16:32:35,-9.23,49.17,-17.93,,
142,02/02/2023 16:35:35,-9.28,51.08,-17.53,,
143,02/02/2023 16:38:35,-7.98,47.55,-17.17,,
144,02/02/2023 16:41:35,-8.66,47.94,-17.70,,
145,02/02/2023 16:44:35,-8.56,48.69,-17.43,,
146,02/02/2023 16:47:35,-8.65,48.08,-17.66,,
147,02/02/2023 16:50:35,-8.52,48.36,-17.47,,
148,02/02/2023 16:53:35,-9.17,49.29,-17.85,,
149,02/02/2023 16:56:35,-8.93,50.72,-17.28,,
150,02/02/2023 16:59:35,-8.11,48.22,-17.13,,
151,02/02/2023 17:02:35,-8.06,47.97,-17.14,,
152,02/02/2023 17:05:35,-8.52,49.61,-17.17,,
153,02/02/2023 17:08:35,-8.54,50.42,-16.99,,
154,02/02/2023 17:11:35,-7.18,46.96,-16.58,,
155,02/02/2023 17:14:35,-6.57,43.09,-17.04,,
156,02/02/2023 17:17:35,-7.59,45.46,-17.34,,
157,02/02/2023 17:20:35,-8.50,48.24,-17.48,,
158,02/02/2023 17:23:35,-9.71,51.89,-17.74,,
159,02/02/2023 17:26:35,-9.42,52.67,-17.30,,
160,02/02/2023 17:29:35,-9.78,52.47,-17.68,,
161,02/02/2023 17:32:35,-10.43,54.92,-17.75,,
162,02/02/2023 17:35:35,-10.70,56.73,-17.62,,
163,02/02/2023 17:38:35,-10.64,56.70,-17.57,,
164,02/02/2023 17:41:35,-10.77,55.52,-17.94,,
165,02/02/2023 17:44:35,-11.16,56.83,-18.03,,
166,02/02/2023 17:47:35,-11.21,56.36,-18.18,,
167,02/02/2023 17:50:35,-12.33,59.28,-18.64,,
168,02/02/2023 17:53:35,-13.23,62.68,-18.84,,
169,02/02/2023 17:56:35,-14.05,66.07,-19.02,,
170,02/02/2023 17:59:35,-14.47,70.90,-18.60,,
171,02/02/2023 18:02:35,-14.49,70.99,-18.60,,
172,02/02/2023 18:05:35,-14.73,71.96,-18.67,,
173,02/02/2023 18:08:35,-15.00,71.54,-19.00,,
174,02/02/2023 18:11:35,-15.68,72.39,-19.53,,
175,02/02/2023 18:14:35,-15.32,74.73,-18.80,,
176,02/02/2023 18:17:35,-15.58,73.36,-19.27,,
177,02/02/2023 18:20:35,-16.32,71.90,-20.22,,
178,02/02/2023 18:23:35,-16.66,75.75,-19.95,,
179,02/02/2023 18:26:35,-16.54,76.93,-19.65,,
180,02/02/2023 18:29:35,-16.63,77.10,-19.71,,
181,02/02/2023 18:32:35,-16.27,77.09,-19.37,,
182,02/02/2023 18:35:35,-16.39,76.14,-19.63,,
183,02/02/2023 18:38:35,-16.28,77.36,-19.34,,
184,02/02/2023 18:41:35,-16.65,75.67,-19.95,,
185,02/02/2023 18:44:35,-16.80,77.58,-19.81,,
186,02/02/2023 18:47:35,-16.58,77.31,-19.64,,
187,02/02/2023 18:50:35,-16.55,77.36,-19.60,,
188,02/02/2023 18:53:35,-16.61,77.05,-19.70,,
189,02/02/2023 18:56:35,-16.95,76.49,-20.12,,
190,02/02/2023 18:59:35,-17.03,79.07,-19.82,,
191,02/02/2023 19:02:35,-17.25,77.18,-20.30,,
192,02/02/2023 19:05:35,-16.92,80.21,-19.53,,
193,02/02/2023 19:08:35,-16.59,77.56,-19.61,,
194,02/02/2023 19:11:35,-17.39,76.27,-20.58,,
195,02/02/2023 19:14:35,-17.38,77.76,-20.34,,
196,02/02/2023 19:17:35,-17.15,79.34,-19.89,,
197,02/02/2023 19:20:35,-16.97,79.35,-19.71,,
198,02/02/2023 19:23:35,-17.17,75.96,-20.42,,
199,02/02/2023 19:26:35,-17.92,76.12,-21.12,,
200,02/02/2023 19:29:35,-18.47,77.42,-21.46,,
201,02/02/2023 19:32:35,-17.84,79.76,-20.50,,
202,02/02/2023 19:35:35,-17.71,80.09,-20.33,,
203,02/02/2023 19:38:35,-17.70,78.85,-20.50,,
204,02/02/2023 19:41:35,-18.24,77.05,-21.29,,
205,02/02/2023 19:44:35,-18.86,76.71,-21.94,,
206,02/02/2023 19:47:35,-19.29,78.68,-22.07,,
207,02/02/2023 19:50:35,-18.95,82.83,-21.16,,
208,02/02/2023 19:53:35,-18.75,80.82,-21.24,,
209,02/02/2023 19:56:35,-18.79,80.58,-21.32,,
210,02/02/2023 19:59:35,-18.43,80.69,-20.95,,
211,02/02/2023 20:02:35,-18.41,79.82,-21.05,,
212,02/02/2023 20:05:35,-18.17,82.14,-20.49,,
213,02/02/2023 20:08:35,-18.19,79.07,-20.95,,
214,02/02/2023 20:11:35,-18.45,78.96,-21.22,,
215,02/02/2023 20:14:35,-19.15,77.47,-22.11,,
216,02/02/2023 20:17:35,-19.76,79.11,-22.47,,
217,02/02/2023 20:20:35,-20.01,81.10,-22.43,,
218,02/02/2023 20:23:35,-19.18,84.63,-21.14,,
219,02/02/2023 20:26:35,-18.28,83.07,-20.47,,
220,02/02/2023 20:29:35,-18.28,79.29,-21.00,,
221,02/02/2023 20:32:35,-18.62,78.38,-21.47,,
222,02/02/2023 20:35:35,-19.69,77.02,-22.71,,
223,02/02/2023 20:38:35,-20.04,80.36,-22.57,,
224,02/02/2023 20:41:35,-20.33,80.83,-22.79,,
225,02/02/2023 20:44:35,-20.82,79.77,-23.42,,
226,02/02/2023 20:47:35,-21.31,81.17,-23.71,,
227,02/02/2023 20:50:35,-21.18,86.01,-22.93,,
228,02/02/2023 20:53:35,-20.86,87.55,-22.41,,
229,02/02/2023 20:56:35,-20.98,85.55,-22.79,,
230,02/02/2023 20:59:35,-21.26,82.42,-23.48,,
231,02/02/2023 21:02:35,-21.37,84.97,-23.25,,
232,02/02/2023 21:05:35,-21.33,86.07,-23.07,,
233,02/02/2023 21:08:35,-20.88,88.03,-22.37,,
234,02/02/2023 21:11:35,-20.86,84.24,-22.85,,
235,02/02/2023 21:14:35,-21.54,80.58,-24.01,,
236,02/02/2023 21:17:35,-21.75,83.85,-23.78,,
237,02/02/2023 21:20:35,-21.99,84.40,-23.93,,
238,02/02/2023 21:23:35,-22.43,83.06,-24.54,,
239,02/02/2023 21:26:35,-22.58,85.39,-24.39,,
240,02/02/2023 21:29:35,-22.84,85.00,-24.69,,
241,02/02/2023 21:32:35,-22.92,85.92,-24.66,,
242,02/02/2023 21:35:35,-22.94,86.86,-24.56,,
243,02/02/2023 21:38:35,-22.91,87.41,-24.45,,
244,02/02/2023 21:41:35,-23.01,85.79,-24.76,,
245,02/02/2023 21:44:35,-22.83,87.39,-24.37,,
246,02/02/2023 21:47:35,-22.89,86.34,-24.57,,
247,02/02/2023 21:50:35,-22.90,86.84,-24.52,,
248,02/02/2023 21:53:35,-22.55,88.41,-23.97,,
249,02/02/2023 21:56:35,-22.51,87.14,-24.10,,
250,02/02/2023 21:59:35,-22.50,86.81,-24.13,,
251,02/02/2023 22:02:35,-22.50,87.50,-24.04,,
252,02/02/2023 22:05:35,-22.69,85.67,-24.45,,
253,02/02/2023 22:08:35,-22.99,84.79,-24.87,,
254,02/02/2023 22:11:35,-23.14,85.24,-24.95,,
255,02/02/2023 22:14:35,-22.84,88.03,-24.30,,
256,02/02/2023 22:17:35,-22.91,85.47,-24.70,,
257,02/02/2023 22:20:35,-23.08,84.66,-24.98,,
258,02/02/2023 22:23:35,-23.35,84.41,-25.27,,
259,02/02/2023 22:26:35,-23.78,84.00,-25.75,,
260,02/02/2023 22:29:35,-23.76,86.60,-25.39,,
261,02/02/2023 22:32:35,-23.22,90.23,-24.41,,
262,02/02/2023 22:35:35,-23.09,88.80,-24.46,,
263,02/02/2023 22:38:35,-22.89,89.46,-24.18,,
264,02/02/2023 22:41:35,-23.00,87.85,-24.48,,
265,02/02/2023 22:44:35,-23.60,83.77,-25.60,,
266,02/02/2023 22:47:35,-23.95,84.22,-25.89,,
267,02/02/2023 22:50:35,-23.89,86.92,-25.48,,
268,02/02/2023 22:53:35,-23.73,87.78,-25.21,,
269,02/02/2023 22:56:35,-23.59,88.13,-25.03,,
270,02/02/2023 22:59:35,-23.57,87.70,-25.06,,
271,02/02/2023 23:02:35,-23.63,86.65,-25.26,,
272,02/02/2023 23:05:35,-23.75,85.84,-25.48,,
273,02/02/2023 23:08:35,-23.94,85.14,-25.76,,
274,02/02/2023 23:11:35,-23.81,87.26,-25.36,,
275,02/02/2023 23:14:35,-23.87,86.49,-25.51,,
276,02/02/2023 23:17:35,-24.25,83.19,-26.32,,
277,02/02/2023 23:20:35,-24.39,84.56,-26.28,,
278,02/02/2023 23:23:35,-24.63,83.83,-26.60,,
279,02/02/2023 23:26:35,-24.97,83.43,-26.99,,
280,02/02/2023 23:29:35,-25.31,83.20,-27.36,,
281,02/02/2023 23:32:35,-25.28,86.12,-26.96,,
282,02/02/2023 23:35:35,-25.26,87.64,-26.75,,
283,02/02/2023 23:38:35,-25.52,85.96,-27.21,,
284,02/02/2023 23:41:35,-25.57,86.95,-27.14,,
285,02/02/2023 23:44:35,-25.35,88.11,-26.77,,
286,02/02/2023 23:47:35,-25.63,84.43,-27.51,,
287,02/02/2023 23:50:35,-25.54,86.11,-27.21,,
288,02/02/2023 23:53:35,-24.91,89.85,-26.13,,
289,02/02/2023 23:56:35,-24.24,91.93,-25.21,,
290,02/02/2023 23:59:35,-24.36,87.37,-25.89,,
291,02/03/2023 00:02:35,-24.56,84.24,-26.49,,
292,02/03/2023 00:05:35,-24.92,84.24,-26.84,,
293,02/03/2023 00:08:35,-24.98,85.74,-26.71,,
294,02/03/2023 00:11:35,-24.91,86.46,-26.54,,
295,02/03/2023 00:14:35,-25.17,84.64,-27.04,,
296,02/03/2023 00:17:35,-25.49,84.21,-27.40,,
297,02/03/2023 00:20:35,-25.69,85.28,-27.46,,
298,02/03/2023 00:23:35,-25.57,87.25,-27.10,,
299,02/03/2023 00:26:35,-25.76,84.95,-27.58,,
300,02/03/2023 00:29:35,-25.87,84.73,-27.71,,
301,02/03/2023 00:32:35,-25.82,86.26,-27.47,,
302,02/03/2023 00:35:35,-25.95,85.35,-27.71,,
303,02/03/2023 00:38:35,-26.06,84.92,-27.88,,
304,02/03/2023 00:41:35,-25.89,85.84,-27.59,,
305,02/03/2023 00:44:35,-25.86,86.18,-27.52,,
306,02/03/2023 00:47:35,-25.72,87.16,-27.26,,
307,02/03/2023 00:50:35,-25.60,87.26,-27.13,,
308,02/03/2023 00:53:35,-25.32,88.41,-26.72,,
309,02/03/2023 00:56:35,-25.41,87.11,-26.96,,
310,02/03/2023 00:59:35,-25.20,87.72,-26.67,,
311,02/03/2023 01:02:35,-25.32,86.44,-26.96,,
312,02/03/2023 01:05:35,-25.55,85.79,-27.26,,
313,02/03/2023 01:08:35,-25.51,86.58,-27.12,,
314,02/03/2023 01:11:35,-25.19,88.59,-26.55,,
315,02/03/2023 01:14:35,-25.30,86.55,-26.92,,
316,02/03/2023 01:17:35,-25.65,84.11,-27.57,,
317,02/03/2023 01:20:35,-26.02,83.72,-27.99,,
318,02/03/2023 01:23:35,-26.23,84.59,-28.08,,
319,02/03/2023 01:26:35,-26.08,86.46,-27.70,,
320,02/03/2023 01:29:35,-25.81,87.45,-27.31,,
321,02/03/2023 01:32:35,-25.85,85.33,-27.62,,
322,02/03/2023 01:35:35,-26.04,83.92,-27.98,,
323,02/03/2023 01:38:35,-26.08,84.74,-27.91,,
324,02/03/2023 01:41:35,-26.19,84.69,-28.04,,
325,02/03/2023 01:44:35,-26.40,84.53,-28.26,,
326,02/03/2023 01:47:35,-26.72,83.69,-28.68,,
327,02/03/2023 01:50:35,-26.88,83.29,-28.89,,
328,02/03/2023 01:53:35,-26.86,84.56,-28.71,,
329,02/03/2023 01:56:35,-26.58,86.98,-28.13,,
330,02/03/2023 01:59:35,-26.34,87.21,-27.87,,
331,02/03/2023 02:02:35,-26.57,85.24,-28.34,,
332,02/03/2023 02:05:35,-26.74,84.44,-28.60,,
333,02/03/2023 02:08:35,-26.49,86.60,-28.09,,
334,02/03/2023 02:11:35,-26.65,84.89,-28.46,,
335,02/03/2023 02:14:35,-26.95,83.69,-28.91,,
336,02/03/2023 02:17:35,-26.87,85.98,-28.54,,
337,02/03/2023 02:20:35,-26.73,86.48,-28.34,,
338,02/03/2023 02:23:35,-26.80,84.93,-28.61,,
339,02/03/2023 02:26:35,-26.61,85.84,-28.30,,
340,02/03/2023 02:29:35,-26.53,86.39,-28.15,,
341,02/03/2023 02:32:35,-26.35,86.52,-27.96,,
342,02/03/2023 02:35:35,-26.26,86.15,-27.92,,
343,02/03/2023 02:38:35,-26.39,85.23,-28.16,,
344,02/03/2023 02:41:35,-26.56,84.72,-28.39,,
345,02/03/2023 02:44:35,-26.78,84.60,-28.63,,
346,02/03/2023 02:47:35,-26.30,87.76,-27.76,,
347,02/03/2023 02:50:35,-25.57,89.42,-26.84,,
348,02/03/2023 02:53:35,-25.22,88.44,-26.60,,
349,02/03/2023 02:56:35,-25.29,86.42,-26.93,,
350,02/03/2023 02:59:35,-25.69,84.10,-27.61,,
351,02/03/2023 03:02:35,-25.97,83.67,-27.94,,
352,02/03/2023 03:05:35,-26.40,82.33,-28.54,,
353,02/03/2023 03:08:35,-27.02,80.65,-29.37,,
354,02/03/2023 03:11:35,-27.32,82.39,-29.44,,
355,02/03/2023 03:14:35,-27.66,81.74,-29.86,,
356,02/03/2023 03:17:35,-28.04,81.48,-30.26,,
357,02/03/2023 03:20:35,-28.32,82.38,-30.42,,
358,02/03/2023 03:23:35,-28.36,83.79,-30.28,,
359,02/03/2023 03:26:35,-28.07,85.75,-29.75,,
360,02/03/2023 03:29:35,-27.93,85.82,-29.61,,
361,02/03/2023 03:32:35,-27.67,86.33,-29.29,,
362,02/03/2023 03:35:35,-27.53,86.16,-29.17,,
363,02/03/2023 03:38:35,-27.42,85.68,-29.12,,
364,02/03/2023 03:41:35,-27.62,83.31,-29.61,,
365,02/03/2023 03:44:35,-27.73,84.25,-29.60,,
366,02/03/2023 03:47:35,-28.10,83.22,-30.10,,
367,02/03/2023 03:50:35,-28.15,84.19,-30.02,,
368,02/03/2023 03:53:35,-28.04,85.68,-29.73,,
369,02/03/2023 03:56:35,-27.83,86.04,-29.48,,
370,02/03/2023 03:59:35,-27.88,85.80,-29.56,,
371,02/03/2023 04:02:35,-28.09,83.71,-30.03,,
372,02/03/2023 04:05:35,-27.91,85.38,-29.64,,
373,02/03/2023 04:08:35,-27.90,85.55,-29.61,,
374,02/03/2023 04:11:35,-28.00,84.90,-29.78,,
375,02/03/2023 04:14:35,-27.86,85.60,-29.56,,
376,02/03/2023 04:17:35,-27.68,86.37,-29.30,,
377,02/03/2023 04:20:35,-27.76,85.13,-29.52,,
378,02/03/2023 04:23:35,-28.00,83.53,-29.96,,
379,02/03/2023 04:26:35,-28.19,83.03,-30.21,,
380,02/03/2023 04:29:35,-28.10,84.11,-29.99,,
381,02/03/2023 04:32:35,-28.06,84.29,-29.92,,
382,02/03/2023 04:35:35,-27.93,84.95,-29.71,,
383,02/03/2023 04:38:35,-28.07,84.54,-29.90,,
384,02/03/2023 04:41:35,-28.26,83.65,-30.20,,
385,02/03/2023 04:44:35,-28.91,82.19,-31.02,,
386,02/03/2023 04:47:35,-29.14,83.93,-31.03,,
387,02/03/2023 04:50:35,-29.26,83.71,-31.18,,
388,02/03/2023 04:53:35,-28.96,85.16,-30.70,,
389,02/03/2023 04:56:35,-28.92,84.62,-30.73,,
390,02/03/2023 04:59:35,-28.77,85.22,-30.50,,
391,02/03/2023 05:02:35,-28.49,84.99,-30.26,,
392,02/03/2023 05:05:35,-28.20,85.96,-29.85,,
393,02/03/2023 05:08:35,-28.30,84.39,-30.14,,
394,02/03/2023 05:11:35,-28.30,84.47,-30.13,,
395,02/03/2023 05:14:35,-28.37,84.01,-30.26,,
396,02/03/2023 05:17:35,-28.57,82.83,-30.61,,
397,02/03/2023 05:20:35,-28.90,81.99,-31.04,,
398,02/03/2023 05:23:35,-28.97,83.59,-30.91,,
399,02/03/2023 05:26:35,-29.12,83.58,-31.06,,
400,02/03/2023 05:29:35,-29.15,83.91,-31.05,,
401,02/03/2023 05:32:35,-29.14,84.68,-30.94,,
402,02/03/2023 05:35:35,-28.95,85.22,-30.68,,
403,02/03/2023 05:38:35,-28.66,86.47,-30.25,,
404,02/03/2023 05:41:35,-28.54,86.27,-30.16,,
405,02/03/2023 05:44:35,-28.71,83.45,-30.67,,
406,02/03/2023 05:47:35,-29.11,81.43,-31.32,,
407,02/03/2023 05:50:35,-29.72,80.12,-32.08,,
408,02/03/2023 05:53:35,-29.94,80.83,-32.20,,
409,02/03/2023 05:56:35,-30.08,81.85,-32.21,,
410,02/03/2023 05:59:35,-29.95,84.05,-31.81,,
411,02/03/2023 06:02:35,-29.84,84.52,-31.65,,
412,02/03/2023 06:05:35,-29.59,85.46,-31.29,,
413,02/03/2023 06:08:35,-29.70,84.28,-31.54,,
414,02/03/2023 06:11:35,-29.54,84.67,-31.33,,
415,02/03/2023 06:14:35,-29.38,84.73,-31.17,,
416,02/03/2023 06:17:35,-29.38,84.34,-31.21,,
417,02/03/2023 06:20:35,-29.37,84.77,-31.15,,
418,02/03/2023 06:23:35,-29.02,86.63,-30.59,,
419,02/03/2023 06:26:35,-28.91,85.31,-30.63,,
420,02/03/2023 06:29:35,-29.20,83.90,-31.09,,
421,02/03/2023 06:32:35,-29.34,83.29,-31.30,,
422,02/03/2023 06:35:35,-28.92,85.69,-30.60,,
423,02/03/2023 06:38:35,-28.71,85.56,-30.41,,
424,02/03/2023 06:41:35,-28.71,84.81,-30.50,,
425,02/03/2023 06:44:35,-29.08,83.51,-31.02,,
426,02/03/2023 06:47:35,-29.36,82.98,-31.36,,
427,02/03/2023 06:50:35,-29.73,82.69,-31.77,,
428,02/03/2023 06:53:35,-31.03,78.80,-33.53,,
429,02/03/2023 06:56:35,-31.45,81.45,-33.61,,
430,02/03/2023 06:59:35,-31.14,85.16,-32.85,,
431,02/03/2023 07:02:35,-31.16,83.98,-33.01,,
432,02/03/2023 07:05:35,-30.92,84.79,-32.68,,
433,02/03/2023 07:08:35,-30.87,83.78,-32.75,,
434,02/03/2023 07:11:35,-30.70,84.09,-32.55,,
435,02/03/2023 07:14:35,-30.57,83.98,-32.43,,
436,02/03/2023 07:17:35,-30.41,83.97,-32.27,,
437,02/03/2023 07:20:35,-30.31,83.56,-32.23,,
438,02/03/2023 07:23:35,-30.32,83.41,-32.26,,
439,02/03/2023 07:26:35,-30.37,83.20,-32.33,,
440,02/03/2023 07:29:35,-30.30,83.71,-32.20,,
441,02/03/2023 07:32:35,-29.80,85.68,-31.46,,
442,02/03/2023 07:35:35,-29.54,85.79,-31.20,,
443,02/03/2023 07:38:35,-29.61,84.53,-31.42,,
444,02/03/2023 07:41:35,-29.66,84.26,-31.50,,
445,02/03/2023 07:44:35,-29.83,83.78,-31.73,,
446,02/03/2023 07:47:35,-29.88,83.41,-31.83,,
447,02/03/2023 07:50:35,-29.67,84.58,-31.47,,
